id,strand_id,name,teacher_friendly_explanation,example_classroom_opportunities,display_order,is_active
numeracy_area_volume,numeracy_measuring,Area and volume,"Learners calculate, compare or reason with space, area and volume.","Garden design|Packaging system|Classroom layout",2,true
numeracy_interpreting_units,numeracy_measuring,Interpreting units,"Learners select and interpret units accurately across practical contexts.","Lab measurement|Recipe conversion|Material dimensions",3,false
numeracy_collecting_data,numeracy_data,Collecting data,"Learners gather data fairly and record it in usable forms.","Survey design|Fieldwork tally|Experiment results table",1,true
numeracy_representing_data,numeracy_data,Representing data,"Learners choose appropriate charts, tables or visual displays.","Infographic|Graph selection|Dashboard sketch",2,true
numeracy_interpreting_trends,numeracy_data,Interpreting trends,"Learners describe patterns, anomalies and relationships in data.","Climate trend discussion|Performance data story|Population graph analysis",3,true
numeracy_selecting_strategies,numeracy_reasoning,Selecting strategies,"Learners choose approaches and explain why they fit the problem.","Multi-step problem|Planning a route|Comparing solution methods",1,true
numeracy_justifying_decisions,numeracy_reasoning,Justifying decisions,"Learners use numbers to support conclusions and communicate reasoning.","Evidence-backed recommendation|Data-led argument|Estimate justification",2,true
numeracy_evaluating_accuracy,numeracy_reasoning,Evaluating accuracy,"Learners consider precision, uncertainty and reliability in numerical work.","Rounding discussion|Measurement error review|Graph scale critique",3,false
dcf_identity_wellbeing,dcf_citizenship,Identity and wellbeing,"Learners understand their digital identity and how online choices affect wellbeing.","Online profile discussion|Screen-time reflection|Digital footprint check",1,true
dcf_digital_rights,dcf_citizenship,Digital rights,"Learners recognise ownership, permission and responsible use of digital content.","Copyright check|Image permission task|Creative Commons review",2,true
dcf_online_behaviour,dcf_citizenship,Online behaviour,"Learners communicate respectfully and safely in digital spaces.","Comment protocol|Shared document etiquette|Online scenario sort",3,true
dcf_communication,dcf_collaborating,Communication,"Learners select appropriate digital communication tools and formats.","Email for audience|Video update|Class discussion board",1,true
dcf_collaboration,dcf_collaborating,Collaboration,"Learners use shared tools to co-create, review and improve work.","Shared slide deck|Collaborative planning board|Peer feedback document",2,true
dcf_storing_sharing,dcf_collaborating,Storing and sharing,"Learners organise, name and share digital files responsibly.","Folder structure|Version naming|Share settings check",3,false
dcf_planning_products,dcf_producing,Planning digital products,"Learners plan digital outputs with audience, purpose and success criteria in mind.","Storyboard|Wireframe|Production checklist",1,true
dcf_creating_content,dcf_producing,Creating digital content,"Learners combine media and tools to create purposeful digital outcomes.","Video explainer|Interactive poster|System portfolio",2,true
dcf_evaluating_outputs,dcf_producing,Evaluating outputs,"Learners review digital work against purpose and make improvements.","Usability review|Audience feedback|Iteration notes",3,true
dcf_problem_solving,dcf_data_thinking,Problem solving,"Learners break problems into steps and develop logical approaches.","Algorithm cards|Debugging routine|Process map",1,true
dcf_data_handling,dcf_data_thinking,Data handling,"Learners collect, structure and use data with digital tools.","Spreadsheet model|Database fields|Data cleaning task",2,true
dcf_modelling,dcf_data_thinking,Modelling,"Learners use digital models or simulations to test ideas.","What-if spreadsheet|Simulation variables|System behaviour model",3,false
cct_healthy_relationships,cct_rse,Healthy relationships,"Learners explore respect, consent, communication and wellbeing in age-appropriate ways.","Scenario discussion|Trusted adults map|Respectful language task",1,true
cct_rights_equity,cct_rse,Rights and equity,"Learners consider rights, fairness and inclusion in relationships and communities.","Rights charter|Equity case study|Class agreement",2,true
cct_personal_identity,cct_rse,Personal identity,"Learners reflect on identity, values and belonging.","Identity artwork|Reflective writing|Community interview",3,false
cct_voice_participation,cct_human_rights,Voice and participation,"Learners understand how people can participate and have their voices heard.","School council brief|Campaign design|Public consultation role-play",1,true
cct_fairness,cct_human_rights,Fairness,"Learners explore fair treatment and decision-making.","Resource allocation task|Justice debate|Case study review",2,true
cct_dignity,cct_human_rights,Dignity,"Learners consider dignity, respect and the rights of others.","Charter comparison|Ethical dilemma|Community values discussion",3,false
cct_identity,cct_diversity,Identity,"Learners explore identity as complex, personal and connected to community.","Identity map|Local voices project|Personal narrative",1,true
cct_culture_community,cct_diversity,Culture and community,"Learners investigate cultures, languages and communities in Wales and beyond.","Community research|Cultural celebration analysis|Place-name enquiry",2,true
cct_challenging_stereotypes,cct_diversity,Challenging stereotypes,"Learners identify stereotypes and consider how to challenge them.","Media analysis|Representation audit|Alternative narrative task",3,true
cct_pathways,cct_careers,Pathways,"Learners understand possible learning and career pathways.","Pathway map|Alumni profile|Options comparison",1,true
cct_workplace_skills,cct_careers,Workplace skills,"Learners identify transferable skills used in different roles.","Skills audit|Employer brief|Team role reflection",2,true
cct_future_planning,cct_careers,Future planning,"Learners connect current learning to future choices and aspirations.","Personal action plan|Careers interview|Goal review",3,false
